ID,Confidence ,Confidence rt,Trial,Trial response ,Trial rt
D02,10,3.4351388,T1,"['right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'space', 'left', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left']","[5.7155754000123125, 6.7479037000157405, 11.889935700019123, 18.404899500019383, 23.926475400017807, 30.839967700012494, 36.078522700001486, 42.03418490002514, 48.33317840000382, 54.2648421000049, 61.42640230001416, 66.72021460000542, 72.47941620001802, 78.52690760002588, 84.21037490002345, 90.64117270000861, 96.40575960002025, 102.4324225000164, 108.70152010000311, 114.39065590000246]"
D02,9,10.1055823,T2,"['right', 'left', 'right', 'left', 'left', 'space', 'left', 'left', 'left', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'right']","[7.85912200002349, 11.883093900018139, 18.08898170001339, 23.766901199996937, 30.94565650000004, 37.19826860001194, 42.635942399996566, 48.78849990002345, 54.901444000017364, 61.08374550001463, 66.64928209999925, 72.61940560000949, 78.98265270001139, 84.47506080000312, 90.4151325999992, 96.27535989999888, 102.5512617000204, 108.37523659999715, 114.41125710000051]"
D02,10,3.2016746,T3,"['right', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'left', 'right', 'right', 'left', 'left']","[6.666958699992392, 12.436154800001532, 18.34771269999328, 24.429877899994608, 30.441349000000628, 36.735653900017496, 42.1269803000032, 48.41545369999949, 54.12594260001788, 60.6412624999939, 66.34534940001322, 73.096283699997, 78.69701760000316, 83.54652040000656, 91.1277865000011, 96.57582470000489, 102.6480057000008, 108.42865230000461, 114.81215800001519]"
D02,10,4.2923632,T4,"['right', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'space', 'right', 'left', 'right', 'left']","[6.617064999998547, 12.65215179999359, 18.4464346000168, 24.31607349999831, 30.137844100012444, 36.569097200001124, 43.05302640001173, 48.79321720000007, 54.861077200010186, 60.805727800005116, 66.06811610001023, 72.5971894999966, 78.19355610001367, 84.69962980001583, 90.66032670001732, 96.42055470001651, 102.5535058999958, 108.684379000013, 114.2965027000173]"
D02,10,4.9257449,T5,"['space', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'left', 'space', 'left', 'space']","[7.27075260001584, 12.86149569999543, 18.345438100019237, 25.00346200002241, 31.035758300015004, 36.62322989999666, 42.69014089999837, 48.947229600016726, 55.45606910000788, 60.41624350001803, 66.64945200001239, 73.11809970001923, 78.92137180001009, 84.87533520002034, 91.3853299000184, 96.93619930002023, 103.09030720000737, 108.7556550000154, 116.61943690001499]"
D02,10,4.3294409,T6,"['right', 'left', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'space', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right']","[6.660316400026204, 12.584622400027001, 18.080426300002728, 24.95648700001766, 30.75862980002421, 36.7860349000257, 42.20359140000073, 49.0025896000152, 54.7923090000113, 60.894254900020314, 66.99664980001398, 72.69665930001065, 78.53105760001927, 84.77235600000131, 90.74418170002173, 95.95469480002066, 102.53287470000214, 108.72839940001722, 115.1362854000181]"
D02,9,3.1889096,T7,"['left', 'right', 'left', 'space', 'right', 'space', 'right', 'right', 'right', 'left', 'space', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'right', 'left']","[6.601774000009755, 12.557117499993183, 19.698155699996278, 24.8736598000105, 30.587577600002987, 36.65797790000215, 42.58977769999183, 48.71432850000565, 54.667108499997994, 60.598097600013716, 63.873909399990225, 67.09520109998994, 72.96086260001175, 78.57632700001705, 84.86311949999072, 90.61127160000615, 96.36182320001535, 103.76630280000973, 109.01930320000974, 114.23251590001746]"
D02,10,6.1210203,T8,"['left', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'space', 'right', 'left', 'left', 'right', 'right']","[6.471013900008984, 13.294790100015234, 18.219361800001934, 24.122804800019367, 30.558729000011226, 36.7009680000192, 44.05431570002111, 48.29450680001173, 54.44346690000384, 61.20786270001554, 67.97520060001989, 73.18786490001366, 78.74174100000528, 84.90276330002234, 93.31746990000829, 96.69666110002436, 103.00746430002619, 109.01863470001263, 114.86219230000279]"
D02,10,3.7660206,T9,"['left', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'left', 'right', 'left', 'right', 'right', 'space', 'left', 'right', 'left', 'right']","[6.706292400020175, 12.884515800018562, 18.89894290000666, 24.418109700025525, 29.932368000008864, 36.38271400000667, 43.070492200000444, 48.84964780000155, 54.80669190001208, 61.162990100012394, 66.90621040001861, 72.34141070002806, 78.77340320000076, 84.97386150000966, 91.15511360001983, 96.89960360000259, 102.49099800002296, 108.96962170000188, 115.40560790000018]"
D02,10,3.420355,T10,"['space', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'right', 'space', 'right', 'right']","[7.268443000008119, 12.845029899996007, 18.596193400007905, 24.662571399996523, 30.614360899984604, 36.971049099985976, 42.47736910000094, 48.58892310000374, 54.4183958999929, 60.41037219998543, 66.50996279998799, 73.040371399984, 78.72400509999716, 85.16951639999752, 91.50454829999944, 96.32094169998891, 102.99151369999163, 108.62967649998609, 114.58828299999004]"
,,,,,
,9.8,,,,
