ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D10,9,7.9812683,T1,"['space', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left']","[4.323488800000632, 8.921147499990184, 9.126574099995196, 9.369599300000118, 9.649350599996978, 14.030029599991394, 14.25654349999968, 14.482485899992753, 15.130040899995947, 15.856263499998022, 20.00527759999386, 20.231277899991255, 20.500926899985643, 21.302334200008772, 25.53159020000021, 25.91954909998458, 26.13716949999798, 26.684838599991053, 27.27482819999568, 32.887671600008616, 33.11437249998562, 38.58408679999411, 38.79624739999417, 38.98736669999198, 44.48355360000278, 44.741828300000634, 44.98832589999074, 45.82709179999074, 49.986841400008416, 50.20252769999206, 50.38939940001001, 51.64155070000561, 57.07159770000726, 57.394062300008954, 57.788996199989924, 62.08134269999573, 62.297498700005235, 62.54023879999295, 63.33310309998342, 68.63991229998646, 68.90527779998956, 69.61622729999362, 74.23964089999208, 74.49227049999172, 74.76961650000885, 75.57043880000128, 81.0257706999837, 81.32929930000682, 81.6794077999948, 86.2809785999998, 86.65002380000078, 86.85134249998373, 87.80748099999619, 92.36247759999242, 92.5716095000098, 92.76948739998625, 93.5752458999923, 98.7546638000058, 98.976842700009, 99.3243758000026, 104.11937619998935, 104.3604204999865, 104.5526595999836, 110.297511199984, 110.61352690000786, 111.20370660000481, 111.49173469998641, 111.70498409998254, 116.03612949998933, 116.24752289999742, 116.4144718000025, 117.04446569998981, 117.7269268000091]"
D10,9,6.187208,T2,"['space', 'space', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right']","[3.7361700999899767, 9.779899899993325, 14.387716299999738, 14.917207699996652, 15.27464359998703, 15.75519989998429, 20.156994699995266, 21.2811834999884, 21.59032719998504, 26.222382499981904, 26.55524859999423, 27.99246489998768, 32.72973729998921, 33.02994189999299, 33.603803799982416, 38.84934570000041, 39.08572099998128, 39.3371798999724, 44.491588499979116, 44.739040799991926, 45.53072169999359, 50.144571699987864, 50.41890239997883, 50.60001419999753, 56.00834489997942, 56.27698649998638, 56.49240279998048, 62.06787939998321, 62.339733899978455, 62.578060399973765, 68.25133499997901, 68.55399149999721, 68.81126589997439, 73.96728449998773, 74.17584089998854, 74.37690829997882, 79.5066189999925, 80.04514629999176, 80.62620299999253, 81.01240739997593, 81.67321219999576, 87.22018749997369, 87.55364349999581, 92.13898689998314, 92.39171479997458, 92.64389499998651, 97.98910189999151, 98.42377769999439, 98.74416499998188, 104.82723329999135, 105.06237169998349, 105.2545721999777, 109.64146709998022, 110.02536329999566, 110.45649289997527, 111.66702119997353, 116.00342789999559, 116.47526389997802, 117.4621987999999]"
D10,9,1.9178809,T3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']","[0.08305240000481717, 2.488425699993968, 2.9556096000014804, 3.4614460000011604, 8.528489799995441, 8.745465800020611, 8.936459000018658, 9.326345500012394, 9.709980200015707, 14.241277299996, 14.459241900010966, 14.655186899995897, 15.492949700012105, 15.862438700016355, 20.237679700017907, 20.473236299993005, 20.661436700000195, 21.645333799999207, 26.952212300006067, 27.15724160001264, 27.325244100007694, 27.762272899999516, 33.288235500018345, 33.495909300021594, 33.666523799998686, 33.86050750000868, 39.16307730000699, 39.62424880001345, 44.70140210000682, 44.93249680000008, 45.11968620002153, 45.4076391000126, 50.77709230000619, 50.977612200018484, 51.15499959999579, 56.52509549999377, 56.743930800003, 56.91483270001481, 57.263580800005, 57.7471641000011, 64.30303000001004, 65.36646020002081, 67.93608860002132, 68.17123890001676, 68.39723770000273, 69.13027379999403, 69.69868659999338, 75.1930088000081, 75.55038550001336, 75.85973349999404, 82.04614570000558, 85.99663510001847, 86.25058750002063, 86.84819600000628, 87.32828650000738, 92.00656249999884, 92.2582231000124, 92.48064250001335, 92.75589660002152, 93.16258649999509, 93.61459380001179, 98.43690990001778, 98.66390580000007, 98.84744939999655, 99.2364531000203, 99.7175521000172, 104.10132690001046, 104.32775419999962, 104.52424009999959, 105.72327919999952, 110.02020280002034, 110.27328140000463, 110.49002520000795, 112.13205179999932, 116.3353546000144, 116.62186440001824, 116.94049360000645, 117.62893649999751]"
D10,10,9.3610859,T4,"['left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'space', 'space', 'space', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left']","[8.13818710000487, 8.495380400010617, 8.799262499989709, 9.136439399997471, 9.460083100013435, 14.210212900012266, 14.538934499985771, 14.769940800004406, 15.184958800004097, 20.078077199985273, 20.38885809999192, 20.641038100002334, 20.933661799994297, 26.218950699985726, 26.448969499993837, 26.68183320001117, 27.626836300012656, 31.97001150000142, 32.269377499993425, 32.57737819998874, 33.87012529998901, 38.02160440001171, 38.31391870000516, 38.490985699987505, 38.87678630001028, 39.20568939999794, 39.65919030000805, 44.2203523000062, 44.61544120000326, 44.936633700010134, 45.83408120000968, 51.77927530001034, 52.54162780000479, 55.96960969999782, 56.31015559998923, 56.70320729998639, 63.001427999988664, 63.475940100004664, 63.81466070000897, 70.17793609999353, 74.73620760001359, 76.20564890000969, 80.02022999999463, 80.32992670001113, 81.54220759999589, 86.17942840000615, 86.51901039999211, 87.39446169999428, 92.17527780000819, 92.95355030000792, 98.9271890000091, 104.00479919998907, 104.3277451999893, 104.66159929998685, 110.48334909998812, 111.2646425999992, 111.57707239998854, 111.87660419999156, 112.79633419998572, 117.38298439999926, 117.58931939999457, 117.80988270000671]"
D10,10,8.8278755,T5,"['space', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'space', 'right', 'left', 'left', 'left', 'left', 'right', 'space', 'space', 'left', 'right']","[3.0978140000079293, 8.055615999997826, 9.774432300007902, 14.464655299991136, 20.109548500011442, 20.492448800010607, 21.896775900007924, 26.027602899994235, 26.39126319999923, 26.836871999985306, 32.19135599999572, 32.505760300002294, 32.74904009999591, 38.407189599995036, 38.73989920000895, 39.17370899999514, 39.405693899985636, 39.63697880000109, 44.055652999988524, 44.290814300009515, 44.573700200009625, 50.24708160001319, 50.51911860000109, 50.75676069999463, 56.62607550001121, 57.041746800008696, 57.71908420001273, 62.02322780000395, 62.28434019998531, 62.522583999991184, 68.18674679999822, 68.50402130000293, 68.74635410000337, 69.0898778999981, 69.79635429999325, 74.13154279999435, 74.37895919999573, 74.64569599999231, 75.75399699999252, 80.56466659999569, 81.46067679999396, 86.53252159999101, 86.97550229998888, 93.77661579998676, 98.0086328999896, 98.29649840001366, 98.71378670001286, 99.17748059998848, 104.3061563000083, 105.26856530000805, 105.64559649999137, 111.91139279998606, 116.8132678999973]"
D10,9,3.5338641,T6,"['space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'space']","[-12.544456500007072, 3.1610710000095423, 8.051370000001043, 8.44793789999676, 8.710125799989328, 10.264999200007878, 14.065005899989046, 14.491856900014682, 16.344159500004025, 21.034172999992734, 21.4960270000156, 26.2397490000003, 26.587924499996006, 32.068493800004944, 32.37206049999804, 32.71356219999143, 39.50790359999519, 39.803868899994995, 39.89464400001452, 44.44082889999845, 44.960860199993476, 45.692442800005665, 51.371048900007736, 51.67269609999494, 51.997684800007846, 56.6582766000065, 57.032242299988866, 62.3160016000038, 62.59351569999126, 63.443441800016444, 68.65149379998911, 68.95458130000043, 69.26738360000309, 69.59854249999626, 74.11347750001005, 74.4260379000043, 74.758330200013, 78.21115230000578, 78.53013860000647, 80.03305170001113, 80.27990520000458, 80.52940379999927, 80.77517569999327, 81.37340750001022, 85.78047210001387, 86.1588594999921, 86.47773210000014, 86.95687029999681, 87.44897769999807, 88.02380160000757, 92.64603440000792, 92.94304060001741, 93.21661709999898, 93.97091940001701, 99.55712700000731, 99.7731008999981, 106.44688090001, 106.746421799995, 106.95809050000389, 110.24133300001267, 110.53502320000553, 110.8237489000021, 111.4249730000156, 111.79836169999908, 116.75916029998916, 117.03171060001478, 117.36385540000629, 117.79754540001159]"
D10,9,2.8660433,T7,"['space', 'left', 'space', 'left', 'right', 'space', 'left', 'right', 'space', 'right', 'space', 'left', 'space', 'left', 'space', 'space', 'left', 'space', 'space', 'left']","[3.1811649999872316, 9.228990999981761, 15.077082599978894, 20.801379099983023, 26.798921299981885, 32.97152739999001, 39.00364969999646, 44.77636699998402, 50.74242579998099, 57.083849899994675, 63.61370999997598, 69.02505440000095, 74.18664939998416, 80.91269999998622, 87.15297029999783, 93.18528449998121, 99.16778540000087, 105.29918029997498, 111.3761013999756, 116.86751289997483]"
D10,9,2.7131979,T8,"['space', 'left', 'space', 'space', 'left', 'right', 'space', 'space', 'space', 'right', 'left', 'left', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right']","[3.0585430999926757, 8.988121600006707, 14.960386699996889, 20.714785799995298, 27.471358100010548, 33.26891579999938, 38.72922780000954, 44.84743029999663, 52.01663130000816, 56.029300299996976, 61.98022369999671, 63.555654499999946, 68.93366999999853, 73.89436089998344, 74.35147190000862, 74.75084960000822, 75.44457920000423, 80.13814130000537, 81.3368979000079, 86.92927980000968, 93.89328689998365, 94.6873431999993, 98.01097899998422, 98.28854959999444, 98.59152789998916, 99.21620090000215, 99.76047889998881, 104.19117219999316, 104.46434139998746, 104.85808269999688, 110.61754899998778, 116.1667798999988, 117.83450639998773]"
D10,8,2.5752764,T9,"['space', 'left', 'left', 'left', 'space', 'space', 'left', 'left', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'space', 'space', 'left', 'left', 'space', 'space', 'space', 'space', 'left', 'space', 'space', 'left', 'left', 'left', 'right', 'right']","[4.034751400002278, 8.609362899995176, 14.414545600011479, 20.68206150000333, 26.56679450001684, 27.841674099996453, 32.50963370001409, 33.43743839999661, 38.60940980000305, 39.687653800006956, 44.17700490000425, 44.85345910000615, 50.817557000002125, 51.708731899998384, 56.01193150001927, 56.79689620001591, 62.85792450001463, 63.29666069999803, 69.4747408000112, 69.86303440001211, 74.35498560001724, 74.97642710001674, 80.73553050000919, 81.47202690000995, 87.25010910001583, 87.66481200000271, 92.25844080001116, 98.78964010000345, 105.17098910000641, 110.02150500001153, 110.37824849999743, 111.82025240000803, 116.23812560000806, 116.70965259999502]"
D10,10,3.4091066,T10,"['space', 'left', 'left', 'left', 'left', 'left', 'space', 'right', 'right', 'right', 'left', 'left', 'left', 'space', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'space', 'space', 'space', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'left']","[4.606965700018918, 8.175656000006711, 8.91591700000572, 14.144143500016071, 14.51719630000298, 14.99787770002149, 20.69370990002062, 26.08381740000914, 26.4836216000258, 27.26810920002754, 31.95028060002369, 32.30396000001929, 33.072377200005576, 38.91377030001604, 44.20304410002427, 44.54830430002767, 45.074560000008205, 45.680405800027074, 50.22692220000317, 50.610349100024905, 51.050904600007925, 56.065226400009124, 56.36885570001323, 56.63131270001759, 62.429028100013966, 62.75685990002239, 63.053967300016666, 67.88480670002173, 68.15427580001415, 68.45194110000739, 69.41267850002623, 74.55018869999913, 75.26125860001775, 75.56432370000402, 79.75446180001018, 80.06330610002624, 80.36164830002235, 80.75076870000339, 81.16469680002774, 86.39462010000716, 86.68664710002486, 87.49988440002198, 92.21313190000365, 93.58349970000563, 98.35250120001729, 98.81202050001593, 103.48247690001153, 103.95176290001837, 104.23986040000455, 104.83174520000466, 105.34865730002639, 110.5413582000183, 110.88208380001015, 111.34260400000494, 116.14876890002051]"
