ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D16,10,5.7581809,T1,"['right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'space', 'left', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left']","[3.9226683000160847, 8.30453339999076, 14.258176200004527, 20.38281400001142, 26.226908000011463, 32.18261530000018, 38.253665800002636, 44.29621430000407, 50.3620421999949, 56.38404350000201, 62.31482010000036, 68.44914620000054, 74.47788729998865, 80.12868910000543, 86.2321127000032, 92.31106050001108, 98.5990230999887, 104.6428190000006, 110.71485190000385, 116.45658729999559]"
D16,8,2.9586258,T2,"['space', 'right', 'left', 'right', 'space', 'left', 'space', 'left', 'left', 'left', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'right']","[2.7560638999857474, 8.356729799997993, 14.224104299995815, 20.174621599988313, 26.19624799999292, 32.32283339998685, 38.22613589998218, 44.54430949999369, 50.44745869998587, 56.565579499991145, 62.631157899973914, 68.77954269998008, 74.52920829999493, 80.2981103999773, 86.3324403000006, 92.95385369998985, 98.30306939998991, 105.47437250000075, 110.15082379998057, 116.69957129997783]"
D16,8,6.7899311,T3,"['space', 'right', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'left', 'right', 'left', 'left']","[3.56070840000757, 9.26228570000967, 15.060579600016354, 20.31635250002728, 26.330299000022933, 32.89037650002865, 38.166079600021476, 44.352738200017484, 50.406561500014504, 57.076368600013666, 62.28101810000953, 69.2592187000264, 74.32763490002253, 80.18562800000655, 86.59937790001277, 92.47595330001786, 99.06583260002662, 104.23061460000463, 110.08100290002767, 116.43107370001962]"
D16,9,2.8924492,T4,"['space', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'space', 'right', 'right', 'left', 'right', 'left']","[3.5467348999809474, 8.343949499976588, 14.238992300000973, 20.284992299973965, 26.282715999986976, 32.334749199973885, 38.49622629999067, 44.63517329999013, 50.52234429999953, 56.31286529998761, 62.396077199984575, 68.44671059999382, 74.44327749998774, 80.92192609998165, 86.55630999998539, 92.42027370000142, 97.11088199997903, 98.9461192000017, 104.25869389998843, 111.05826409999281, 116.58796789997723]"
D16,9,2.9091976,T5,"['space', 'space', 'right', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'left', 'space', 'left', 'right']","[3.382014499977231, 8.41922079998767, 13.241068199975416, 14.246512899990194, 20.567864799988456, 26.445707599981688, 32.195521999994526, 38.748859099985566, 44.63053039999795, 50.80543729997589, 56.43409729999257, 62.60518620000221, 68.49970230000326, 74.84575349997613, 80.43010259998846, 86.16890160000185, 92.2899524999957, 98.38329119997798, 104.39425349998055, 110.62752409998211, 116.42645440000342]"
D16,9,11.9397996,T6,"['space', 'space', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'space', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'right']","[2.8543581000121776, 8.51944440000807, 14.48715249999077, 19.620598100009374, 20.38890769999125, 26.404077000013785, 32.46357729998999, 39.22574140000506, 44.41100650001317, 50.38731540000299, 56.41038169999956, 62.91392719998839, 68.52631700001075, 74.9408279999916, 80.33035969999037, 86.18363630000385, 92.29462570001488, 98.41944180001155, 104.22953479998978, 110.28844989999197, 115.40748960000928, 116.34287699998822]"
D16,7,2.5923877,T7,"['space', 'space', 'right', 'left', 'space', 'right', 'space', 'right', 'right', 'right', 'space', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'right', 'right', 'left']","[3.1329147000215016, 8.823011600004975, 14.362342200009152, 20.415932400006568, 26.657924900006037, 32.35227190001751, 39.12241810001433, 44.63541310001165, 50.26997540000593, 56.43427410000004, 62.48390260001179, 68.62046230002306, 74.37515400000848, 80.46720110002207, 86.38530180000816, 92.31525939999847, 98.9400438000157, 103.1849914000195, 104.1242184000148, 110.23818270000629, 116.6350822999957]"
D16,9,2.9667142,T8,"['space', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'space', 'right', 'left', 'left', 'right', 'right']","[3.1400338000094052, 8.538425200007623, 14.71908509999048, 20.168893599999137, 26.90815199998906, 32.703462600009516, 38.58622369999648, 44.9162551999907, 50.540622400003485, 56.37984680000227, 62.76815640000859, 68.3106495999964, 74.68558729998767, 80.60219460001099, 86.43653229999472, 92.37951639998937, 98.5647736999963, 104.47463730000891, 110.42660110001452, 116.64741360000335]"
D16,9,5.0294295,T9,"['space', 'space', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'left', 'right', 'left', 'right', 'right', 'space', 'left', 'left', 'right', 'left', 'right', 'right']","[3.4424385000020266, 9.090247700019972, 14.31688270001905, 20.47336920001544, 26.167972700000973, 32.3925533000147, 38.4150881000096, 44.6137868000078, 50.268142400018405, 56.17446540002129, 62.53574740001932, 68.70386239999789, 75.10878160002176, 80.56094670001767, 86.49518970001373, 92.26489240000956, 97.50084870000137, 98.58330110000679, 104.42825170001015, 110.48318510001991, 116.06328950001625, 116.98762710002484]"
D16,8,5.2934141,T10,"['space', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'space', 'space', 'left', 'left', 'right', 'space', 'space', 'right']","[3.905748899996979, 8.777539200003957, 14.477682800003095, 20.90308419999201, 26.39676229999168, 32.43123270000797, 38.505633699998725, 44.238427500007674, 50.34403360000579, 56.27257209998788, 62.5936284000054, 69.31398790000821, 75.19775510000181, 80.2681550999987, 86.59471470001154, 92.29755779998959, 98.15966360000311, 104.46465909999097, 111.66716620000079, 117.33267949998844]"
,,,,,
,8.6,,,,
