ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D08,7,5.8213444,T1,"['space', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'space', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'right', 'left']","[-6.553432200016687, 2.6204729999881238, 8.636702099989634, 14.247735499986447, 20.310167599993292, 26.509409299993422, 32.322835300001316, 38.680618399987, 44.3343144999817, 50.50180209998507, 56.614975300006336, 62.66989130000002, 68.79341600000043, 74.42012819999945, 80.42854019999504, 86.45863169999211, 92.58238399997936, 98.60338640000555, 104.67531649998273, 110.79788329999428, 116.82528069999535]"
D08,8,5.9627168,T2,"['right', 'right', 'right', 'left', 'right', 'space', 'left', 'space', 'right', 'right', 'space', 'space', 'right', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'right']","[2.5521287000156008, 8.48127860002569, 8.853706200025044, 14.65843800001312, 20.538580000022193, 26.908101700013503, 33.04348580000806, 39.998804600007134, 45.9351443000196, 51.481944800005294, 56.73369520000415, 62.97947360001854, 68.58163860000786, 74.66677140002139, 80.47593900002539, 86.72027740001795, 92.35357480001403, 98.6960354000039, 104.97233200000483, 110.39700660001836, 116.36877760000061]"
D08,9,5.5677694,T3,"['right', 'right', 'left', 'space', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'space', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'left']","[2.497262100019725, 8.50315450000926, 14.366931900003692, 20.44746870000381, 26.295568500005174, 32.48989050000091, 38.67760660001659, 44.511854700016556, 50.4076787000231, 56.89490450001904, 62.33580160001293, 68.68796590002603, 74.49238020001212, 80.33689410000807, 86.76050910001504, 92.28708130001905, 98.8783024000004, 104.60273550002603, 110.34050550000393, 116.37674980002339]"
D08,6,4.7781511,T4,"['left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'right', 'left', 'right', 'left', 'left', 'space', 'right', 'right', 'left', 'right', 'space']","[3.007616099988809, 8.532293199998094, 14.436742399993818, 20.372722799977055, 26.639989699993748, 32.38820339998347, 38.88047499998356, 44.29140600000392, 51.53600510000251, 56.42143279997981, 62.66857569999411, 68.51446879998548, 74.49165549999452, 80.30405979999341, 86.78239499998745, 92.57388409998384, 98.29782690000138, 98.6141991999757, 104.27975059999153, 110.66917909999029, 117.02903299999889]"
D08,7,4.0265865,T5,"['left', 'right', 'right', 'left', 'left', 'right', 'left', 'space', 'space', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'left', 'space', 'left', 'right']","[3.0362387000059243, 8.771925000008196, 14.859234700008528, 20.449842300004093, 26.60368390000076, 33.47167289999197, 39.377164700010326, 44.71639009998762, 51.02805230001104, 56.949849199998425, 62.566228899988346, 68.61941949999891, 74.87189380000927, 80.87829210000928, 86.37933689999045, 92.76498599999468, 99.52015560001018, 105.12595950000104, 110.74225559999468, 116.49548149999464]"
D08,9,5.0153877,T6,"['right', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right']","[2.436421299993526, 8.498829100019066, 14.450248300010571, 20.850731700018514, 26.754243600007612, 32.80323789999238, 38.4601726999972, 44.673406799993245, 50.63768980000168, 56.25158539999393, 62.5852053000126, 68.29996140001458, 75.16595920000691, 80.82307109999238, 86.51534670000547, 92.86777979999897, 98.36366400000406, 104.893684700015, 111.19349760000478, 117.42837750000763]"
D08,10,12.8069478,T7,"['space', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'space', 'left', 'right', 'left', 'right', 'right', 'left']","[2.986028699990129, 9.283422500011511, 14.680768199992599, 20.97981260000961, 26.623101200006204, 32.301903199986555, 38.73162780000712, 44.72220419999212, 51.32184670001152, 57.216619399987394, 62.839540399989346, 68.91819440000108, 74.9104442000098, 81.05298569999286, 87.04158879999886, 92.81949779999559, 98.76362859999062, 105.19700710001052, 110.50486310000997, 116.60988500001258]"
D08,9,14.3052733,T8,"['right', 'left', 'right', 'right', 'left', 'right', 'space', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'space', 'right', 'left', 'left', 'right', 'right']","[3.350515900005121, 8.688821199990343, 14.935292899986962, 20.523437800002284, 27.223827100009657, 33.144742000004044, 39.784243300004164, 44.51461620000191, 51.31956999999238, 56.92197419999866, 58.128784300002735, 63.01507920000586, 68.64634010000736, 74.61987429999863, 81.57433169998694, 86.3880524999986, 93.23507059999974, 99.64071690000128, 105.3016273000103, 110.59211170001072, 117.18895030001295]"
D08,7,6.7427039,T9,"['space', 'left', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'left', 'right', 'space', 'right', 'right', 'right', 'left', 'right', 'left', 'right']","[3.162526000000071, 8.569109500007471, 14.630955200002063, 20.581732000020565, 26.8263354000228, 33.0541227000067, 38.44754490000196, 45.165523000003304, 50.7606510000187, 56.74098560001585, 64.1479441000265, 69.76768350001657, 74.92593100000522, 80.7266101000132, 86.68150240002433, 92.5507709000085, 98.38561550001032, 104.48400900000706, 111.02409850002732, 116.84556650000741]"
D08,6,8.4949998,T10,"['right', 'left', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'right', 'left', 'right', 'right']","[2.9983310000097845, 8.857915400003549, 14.471790300012799, 21.13412229999085, 25.459346499992535, 26.227055299998028, 32.74641419999534, 39.219184799992945, 44.85547979999683, 51.06986839999445, 57.016234300012, 63.543665700010024, 68.68156890000682, 74.99971790000563, 80.61646580000524, 88.11061100001098, 92.7897559000121, 98.50932260000263, 104.67348140000831, 111.08158070000354, 116.6927576000162]"
