ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D09,9,2.3230388,T1,"['space', 'space', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'space', 'right', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right']","[1.2671830999988742, 2.200802699999258, 8.458681299998716, 14.109591200000068, 20.522661599999992, 26.39210869999988, 32.92264989999967, 38.46343999999954, 44.293490799998835, 50.098077399999966, 56.071297599999525, 63.53586879999966, 68.43201469999985, 74.16564370000015, 80.07156070000019, 86.95059079999919, 93.90207849999933, 98.10175209999943, 105.19645019999916, 110.22163980000005, 116.31513929999892]"
D09,8,2.5157448,T2,"['space', 'left', 'right', 'left', 'space', 'right', 'space', 'right', 'right', 'left', 'left', 'right', 'left', 'left', 'right', 'left', 'space', 'right', 'left']","[2.449225000000297, 8.208154699999795, 14.158153300000777, 20.51922689999992, 27.03232030000072, 32.533223700000235, 38.617426500000875, 44.21198910000021, 56.2482428000003, 63.99332150000009, 68.47902009999962, 74.9114325999999, 80.96745419999934, 86.16734779999933, 92.94070869999996, 99.08534270000018, 105.31323990000055, 110.18578379999963, 116.4834609999998]"
D09,9,2.1418468,T3,"['space', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'space', 'left', 'left', 'space', 'right']","[3.0851400999999896, 8.302276599999459, 14.722564199999397, 20.075631199999407, 26.13433459999942, 33.288345999999365, 38.08807499999966, 44.26268659999914, 50.259246199999325, 56.77234300000055, 62.33843379999962, 68.0976112999997, 75.47902479999902, 80.03788779999923, 87.03070370000023, 98.05512849999832, 104.2443656000014, 110.94845950000126, 117.64182410000103]"
D09,9,2.2742662,T4,"['space', 'left', 'left', 'left', 'right', 'left', 'space', 'left', 'left', 'left', 'left', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'right']","[2.9496698000002652, 8.294860199999675, 14.422741299997142, 20.928037399997265, 27.237988699998823, 33.084216999999626, 39.321341799997754, 44.560584999999264, 50.531644899998355, 56.23357549999855, 62.846505499997875, 69.39228309999817, 74.19351359999928, 81.27734789999886, 86.14286109999739, 93.1036783999989, 98.18413409999994, 104.60250679999808, 110.65250580000065, 116.88600619999852]"
D09,10,3.2980639,T5,"['space', 'space', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'right', 'space', 'right', 'left']","[3.1958375000031083, 9.317993200002093, 14.26187480000226, 20.705361100001028, 26.760872100003326, 32.3589436000002, 38.132423500002915, 44.22028020000289, 50.81413020000036, 56.194547000002785, 62.90608990000328, 68.77021480000258, 74.87317900000198, 80.67170230000193, 86.26316990000123, 92.25186780000149, 98.77726940000139, 104.12713350000195, 110.33561490000284, 116.53690439999991]"
D09,9,2.7282257,T6,"['space', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'space', 'left', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left']","[3.114738700001908, 8.172173900002235, 14.095875499999238, 20.201189400002477, 27.120310000002064, 38.150891400000546, 44.795257100002345, 50.24570640000093, 56.15365490000113, 62.27885830000014, 68.95516370000041, 75.3207003000025, 80.99371600000086, 87.17456510000193, 92.54307899999912, 98.91826690000016, 104.15506979999918, 110.90694939999958, 116.46647560000201]"
D09,9,3.4276881,T7,"['space', 'right', 'left', 'right', 'space', 'left', 'space', 'left', 'left', 'left', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'right']","[2.1395809999994526, 8.207390899999154, 14.14833450000151, 20.191495800001576, 26.13868569999977, 32.68913360000079, 39.295301300000574, 44.800949699998455, 50.92156890000115, 56.4387186999993, 63.25635300000067, 68.94672659999924, 74.96243699999832, 81.9438158999983, 86.08866810000109, 92.80920100000003, 99.32237929999974, 104.86368410000068, 111.25876010000138, 116.6491892999984]"
D09,9,2.519863,T8,"['left', 'right', 'left', 'left', 'right', 'left', 'left', 'space', 'right', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'left']","[2.688403300002392, 8.446925300002476, 14.132922900000267, 20.688259400001698, 26.475635000002512, 32.13330850000057, 38.4833006000008, 45.15699300000051, 50.68807749999905, 56.31428070000038, 62.81271530000231, 68.26012020000053, 75.03407399999924, 81.02792580000096, 86.95155739999973, 92.36490290000074, 99.67619280000144, 104.25785220000034, 110.14855800000078, 116.07944449999923]"
D09,8,2.3274609,T9,"['space', 'right', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'space', 'space', 'left', 'space', 'right']","[2.7917832999992243, 8.202469600000768, 14.535449499999231, 20.14131550000093, 26.44717749999836, 33.128663600000436, 38.80420429999867, 46.150914199999534, 50.10052359999827, 56.80266620000111, 62.1236198000006, 68.17943050000031, 74.50664229999893, 80.19918719999987, 86.2817518999982, 93.13106369999878, 99.18908829999782, 104.97118480000063, 111.62772849999965, 116.36524149999968]"
D09,8,3.4027608,T10,"['space', 'space', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'right', 'right', 'left', 'space', 'right', 'right', 'left', 'left', 'left', 'left']","[2.9943569999995816, 8.235726400002022, 14.164199599999847, 21.497740700000577, 26.777126200002385, 32.38047279999955, 38.48194220000005, 44.74415500000032, 50.110182300002634, 56.94699229999969, 68.5270117, 74.51035440000123, 80.11274760000015, 86.0734564000013, 92.08534960000179, 98.10943330000009, 104.57828390000213, 110.56089160000192, 116.49542030000157]"
