ID,Confidence ,Confidence rt,Trial,Trial response ,Trial rt
D05,6,4.8952524,T1,"['left', 'space', 'left', 'space', 'left', 'left', 'right', 'right', 'space', 'left', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'space', 'space', 'right']","[2.6867067999992287, 9.170815299999958, 15.114195299998755, 21.69494229999873, 27.964283899998918, 32.45994889999929, 38.471320200000264, 44.91262540000025, 50.71706180000001, 57.70783569999912, 62.051122299999406, 69.55523699999867, 74.36620299999959, 81.87393510000038, 87.16274019999946, 93.21708330000001, 99.97839779999958, 104.67890699999953, 111.12845389999893, 116.44077370000014]"
D05,7,6.6457211,T2,"['left', 'left', 'right', 'left', 'space', 'right', 'left', 'left', 'space', 'space', 'right', 'left', 'left', 'space', 'left', 'left', 'left', 'left', 'left', 'space']","[2.9957205999999132, 9.088701000000583, 15.124199599998974, 20.209551899999497, 27.246545399999377, 33.59043220000058, 38.785829399999784, 46.43863649999912, 50.50543230000039, 57.77089940000042, 63.33460019999984, 68.76370870000028, 75.26521780000076, 80.8136341999998, 86.45012709999901, 92.49015839999993, 98.67177769999944, 104.96972760000062, 111.38602229999924, 117.95416999999907]"
D05,6,5.2877182,T3,"['left', 'left', 'space', 'space', 'space', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'left', 'left', 'space', 'left', 'left', 'left', 'space']","[3.6564777999992657, 8.98744110000007, 14.152896300000066, 20.114844899999298, 26.343816299999162, 33.60155599999962, 38.10712169999897, 45.805336100000204, 50.32576399999925, 56.57688479999888, 62.10514729999886, 69.19768379999914, 74.09935450000012, 81.20937500000036, 86.32522640000025, 94.23590489999879, 98.48531249999905, 104.27274409999882, 110.52814359999866, 116.04022129999976]"
D05,8,11.8526331,T4,"['left', 'left', 'left', 'left', 'left', 'left', 'space', 'left', 'space', 'space', 'space', 'left', 'space', 'left', 'space', 'space', 'left', 'left', 'left', 'space', 'space']","[2.820465900000272, 8.774263500001325, 14.42671110000083, 20.329211199999918, 26.80620650000128, 32.19672499999979, 38.38099180000063, 44.81493039999987, 48.78812050000124, 50.01435590000074, 58.16366070000004, 63.37325690000034, 68.92050159999962, 74.94426930000009, 80.72606500000074, 88.25923760000114, 92.10244740000053, 99.78170099999988, 104.15985040000123, 110.90555430000131, 116.39030679999996]"
D05,8,6.1333904,T5,"['left', 'left', 'left', 'left', 'space', 'left', 'left', 'space', 'space', 'space', 'space', 'space', 'left', 'left', 'left', 'space', 'left', 'left', 'space', 'space', 'left']","[3.018969200000356, 9.255891799999517, 15.098664299999655, 21.43195939999896, 26.47982899999988, 34.046738499999265, 39.16434239999944, 44.28744910000023, 51.23348900000019, 57.55771300000015, 62.47570710000036, 69.43022269999892, 71.97684509999999, 75.13500319999912, 80.42800080000052, 86.19772890000058, 94.13238369999999, 98.87126829999943, 105.240131999999, 110.23320590000003, 117.52169669999967]"
D05,8,2.7713046,T6,"['left', 'left', 'right', 'right', 'space', 'space', 'space', 'left', 'left', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'left', 'left', 'left']","[2.0170362000008026, 8.621600800001033, 16.560586300000068, 17.053396000001158, 21.423682500000723, 26.570943700000498, 32.21939019999991, 38.86863960000119, 44.94242300000042, 50.11266350000005, 57.27607220000027, 62.61903810000149, 68.84318440000061, 76.43960010000046, 81.21054069999991, 87.29974180000136, 93.37623850000091, 98.41408150000098, 106.1251272999998, 111.29120350000085, 117.2915748000014]"
D05,7,3.7423354,T7,"['left', 'space', 'left', 'space', 'left', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'space', 'left', 'left', 'space', 'space', 'space', 'right', 'left', 'left', 'right', 'right']","[2.2523191000000224, 8.179489099999046, 15.453891299999668, 20.296800999998595, 26.286386399999174, 33.03031469999951, 33.68817089999902, 39.4299577999991, 44.48859209999864, 50.72551620000013, 57.52499609999904, 63.08394640000006, 68.22578909999902, 69.76093579999906, 74.70218869999917, 82.10893629999919, 86.37462699999924, 91.70410639999864, 92.88208010000017, 98.17540860000008, 104.55957499999931, 111.70147409999845, 116.30099119999977, 116.58282009999857]"
D05,7,2.937711,T8,"['left', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'left', 'space', 'left', 'space', 'left', 'left', 'right', 'left', 'left', 'space', 'space']","[2.359439299998485, 8.750844599999255, 15.310812899999291, 22.094778499998938, 26.241959699998915, 31.803082299999005, 32.96158599999944, 40.44936649999909, 44.84902709999915, 50.84680739999931, 57.78032109999913, 62.25519559999884, 68.40083079999931, 74.11578019999979, 81.46244549999938, 86.12122609999824, 93.53587459999835, 99.14281059999848, 111.60116299999936]"
D05,8,3.1013526,T9,"['left', 'space', 'right', 'left', 'left', 'space', 'space', 'left', 'space', 'left', 'space', 'left', 'space', 'left', 'left', 'left', 'space', 'space', 'left', 'space', 'left']","[2.985494500000641, 8.345337500000824, 15.66027209999993, 21.303628800000297, 26.702395300000717, 33.29924270000083, 39.338683500000116, 44.47255310000037, 51.169287099999565, 57.93029349999961, 63.163402599999245, 69.52070830000048, 76.39437630000066, 81.61137249999956, 86.52153980000003, 92.89032269999916, 97.40852950000044, 98.13368869999977, 105.15522520000013, 110.16437399999995, 117.75994490000085]"
D05,8,3.3805847,T10,"['left', 'left', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']","[2.9478065999992396, 8.27463969999917, 14.601944800000638, 18.03799550000076, 20.119891199999984, 28.363548100000116, 32.978646199999275, 38.96989140000005, 44.41176599999926, 50.180683299999146, 57.64505129999998, 63.03890809999939, 65.02865129999918, 68.5962782000006, 74.19320180000068, 81.54511380000076, 88.70513399999982, 92.96157999999923, 98.76602520000051, 102.47785990000011, 104.25949199999923, 110.474541399999, 116.99856259999979]"
