ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D15,7,4.113513,T1,"['right', 'right', 'right', 'right', 'space', 'space', 'right', 'space', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'space', 'right']","[3.344887400002335, 8.34706510000251, 14.335759600002348, 20.31505880000259, 26.907909699999436, 32.666984300001786, 38.30613640000229, 44.8381272000006, 50.47856540000066, 56.57709230000182, 62.358332900003006, 68.31685070000094, 75.36848530000134, 81.32677300000068, 86.5278141000017, 92.2078145000014, 98.15410220000194, 104.08094090000304, 110.86922390000109, 116.11067220000041]"
D15,8,3.184408,T2,"['right', 'right', 'space', 'left', 'right', 'left', 'right', 'right', 'right', 'space', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'right', 'left']","[8.149870900000678, 14.27878039999996, 20.87851529999898, 26.740805699999328, 32.078390700000455, 39.18947239999761, 44.027374400000554, 50.0354531999983, 56.44714169999861, 62.23653009999907, 68.55828009999823, 74.07460390000051, 80.99760439999955, 86.45133780000106, 92.4811082999986, 98.39593740000055, 104.29515360000005, 110.17448589999913, 116.25339309999981]"
D15,8,7.0822895,T3,"['space', 'space', 'right', 'right', 'space', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'left', 'space', 'right', 'left', 'left', 'right', 'right']","[2.217070499998954, 8.606735199999093, 14.260044300001027, 21.033672300000035, 27.17619679999916, 32.1458973000008, 38.4341588999996, 44.03811929999938, 50.28057049999916, 56.39224629999808, 63.35122119999869, 68.11925879999762, 74.27935900000011, 80.20354450000013, 86.38562979999915, 92.08235749999949, 98.12820490000013, 103.92322559999957, 110.14491730000009, 116.02263039999889]"
D15,8,4.0413845,T4,"['space', 'left', 'left', 'left', 'right', 'left', 'right', 'space', 'space', 'left', 'left', 'right', 'space', 'right', 'right', 'space', 'left', 'right', 'left', 'right']","[2.9262000000016997, 8.439468000000488, 14.144064799998887, 20.49318040000071, 26.39734580000004, 32.31129520000104, 38.36294730000009, 44.202198099999805, 50.84355100000175, 56.85697340000115, 62.223655199999484, 68.16129450000153, 74.75864179999917, 80.30459519999931, 86.55124090000027, 92.0328694000018, 98.39581389999876, 104.23149299999932, 110.20831040000121, 116.09441850000076]"
D15,7,4.2896324,T5,"['space', 'space', 'space', 'space', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'left', 'right', 'space', 'right', 'left']","[2.085806200000661, 3.038896100002603, 8.265874600001553, 14.30722280000191, 20.220140600002196, 26.06500539999979, 32.25415559999965, 38.095353100001375, 44.234038200000214, 49.969945100001496, 57.27459699999963, 62.34132070000123, 68.72107880000112, 74.80979430000298, 80.02170860000115, 86.09585420000076, 92.04036600000109, 98.32349389999945, 104.17789600000106, 110.04151560000173, 116.04058799999984]"
D15,8,3.0982017,T6,"['space', 'space', 'space', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'space', 'space', 'space', 'right', 'left', 'left', 'right', 'left', 'right', 'space']","[3.002821500002028, 8.460364999999001, 14.118089899999177, 20.093743299999915, 26.149546100001317, 31.9431184999994, 38.376435400001355, 44.06867070000226, 50.09828860000198, 56.16775029999917, 62.096163700000034, 68.14809500000047, 74.13458159999936, 80.41752450000058, 86.13798390000011, 92.11418530000083, 98.14274230000228, 104.22628380000242, 110.05380940000032, 116.50256430000081]"
D15,7,4.4831787,T7,"['space', 'right', 'space', 'right', 'right', 'left', 'space', 'left', 'space', 'left', 'space', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'left', 'right']","[2.410268999999971, 8.402603499998804, 14.729548700001033, 20.05186980000144, 26.307885099999112, 31.999840100001165, 38.050676300001214, 44.33035980000204, 50.156720200000564, 56.191452899998694, 62.415142599998944, 68.08931060000032, 74.19764520000172, 80.22315660000095, 86.57925189999878, 92.24637950000033, 98.7554495000004, 104.13248000000021, 110.19868209999913, 116.07605730000068]"
D15,6,4.3516587,T8,"['space', 'space', 'space', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'space', 'space', 'left', 'right', 'right', 'left', 'left']","[2.7451550000005227, 8.410906500001147, 15.07167870000194, 20.087769199999457, 26.543402300001617, 32.09035380000205, 38.23327640000207, 44.341981500001566, 50.05368839999937, 56.174825500002044, 62.36994170000253, 68.38592029999927, 74.22331359999953, 80.08278860000064, 86.42275169999994, 92.31688340000255, 98.47128410000005, 104.26978290000261, 110.18137050000223, 116.10124880000149]"
D15,7,3.824317,T9,"['space', 'right', 'right', 'right', 'space', 'right', 'left', 'right', 'right', 'right', 'right', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'left']","[3.2643288999970537, 8.148748499999783, 14.16259269999864, 19.981218699998863, 26.669568899997103, 32.15335269999923, 38.012209799999255, 44.46106189999773, 50.25484669999787, 56.20890139999756, 62.09349889999794, 68.37825199999861, 74.58489149999878, 80.20185319999655, 86.35260479999852, 92.23884789999647, 98.3995468999965, 104.60707699999693, 110.18579919999684, 116.34905209999852]"
D15,7,5.6453713,T10,"['space', 'space', 'right', 'left', 'right', 'right', 'left', 'space', 'space', 'right', 'right', 'right', 'space', 'right', 'right', 'right', 'left', 'right', 'right', 'space']","[2.6147555999996257, 8.143326999997953, 14.100101600000926, 20.7598665000005, 26.26985159999822, 32.112021499997354, 38.72864489999847, 44.0461123999994, 50.282221800000116, 56.16988809999748, 62.29595689999769, 68.19237499999872, 74.18060200000036, 80.02567379999891, 86.0462097999989, 92.10284119999778, 98.27936190000037, 104.07944259999931, 109.94874179999897, 116.02529109999887]"
